,popularity,vote_count,id,original_language,genre_ids,title,vote_average,overview,release_date
0,1497.123,698,531219,en,"[14, 10751, 12, 35, 27]",Roald Dahl's The Witches,6.9,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",2020-10-26
1,562.083,354,718444,en,"[28, 12, 18, 53]",Rogue,5.8,"Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels.",2020-08-20
2,475.982,50,594718,ru,"[878, 18, 27]",Sputnik,6.4,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…",2020-09-10
3,444.615,179,531499,en,"[28, 80, 18]",The Tax Collector,6.0,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,2020-08-07
4,347.616,121,425001,en,"[35, 10751, 18]",The War with Grandpa,6.0,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",2020-08-27
5,327.609,101,726739,en,"[35, 28]",Cats & Dogs 3: Paws Unite,6.6,"It's been ten years since the creation of the Great Truce, an elaborate joint-species surveillance system designed and monitored by cats and dogs to keep the peace when conflicts arise. But when a tech-savvy villain hacks into wireless networks to use frequencies only heard by cats and dogs, he manipulates them into conflict and the worldwide battle between cats and dogs is BACK ON. Now, a team of inexperienced and untested agents will have to use their old-school animal instincts to restore order and peace between cats and dogs everywhere.",2020-10-02
6,267.579,0,591629,en,[18],Lady Driver,0.0,"When a rebellious teen embarks on a solo summer journey to connect with her roots, she finds herself in a new world, geared up for the ride of her life, and discovers she had the drive in her all along.",2020-12-03
7,237.5,47,595149,en,"[27, 9648]",Death of Me,5.5,"A couple on holiday on a remote South Pacific island awaken one morning with a hang over and no recollection of what transpired. When playing back a video of the previous night, they see they participated in a local ritual that somehow ends with him murdering her.",2020-10-02
8,220.44,260,501979,en,"[35, 878, 12]",Bill & Ted Face the Music,6.3,"Yet to fulfill their rock and roll destiny, the now middle-aged best friends Bill and Ted set out on a new adventure when a visitor from the future warns them that only their song can save life as we know it. Along the way, they are helped by their daughters, a new batch of historical figures and a few music legends—to seek the song that will set their world right and bring harmony to the universe.",2020-08-27
9,241.693,418,524047,en,"[28, 53]",Greenland,7.1,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garrity's experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",2020-07-29
10,220.103,0,611605,en,"[53, 18, 27]",1BR,0.0,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her.",2020-11-26
11,190.127,772,413518,it,"[14, 10751, 12, 18]",Pinocchio,6.7,"In this live-action adaptation of the beloved fairytale, old woodcarver Geppetto fashions a wooden puppet, Pinocchio, who magically comes to life. Pinocchio longs for adventure and is easily led astray, encountering magical beasts, fantastical spectacles, while making friends and foes along his journey. However, his dream is to become a real boy, which can only come true if he finally changes his ways.",2019-12-19
12,181.735,111,590995,en,"[27, 18, 14]",The Craft: Legacy,6.4,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,2020-10-28
13,133.132,3,529203,en,"[12, 14, 10751, 16]",The Croods: A New Age,5.7,"After leaving their cave, the Croods encounter their biggest threat since leaving: another family called the Bettermans, who claim to be better and evolved. But after Eep and the Bettermans' only daughter escape, the two families must put aside their differences to save them.",2020-11-19
14,112.049,185,417466,es,"[18, 53]",Monos,6.8,"On a faraway mountaintop, eight kids with guns watch over a hostage and a conscripted milk cow.",2019-09-05
15,109.504,13,551804,en,"[27, 53, 35]",Freaky,7.9,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",2020-11-11
16,88.027,176,520725,fr,"[14, 12, 35]",The Lost Prince,5.8,"Djibi lives alone with Sofia, his 8-year-old daughter. Every night, he invents a story to put him to sleep. When Sofia falls asleep, these extraordinary stories come to life somewhere in an imaginary world inhabited by knights, pirates and other dragons. In this world that belongs only to them, Sofia is always the princess to save, and the brave Prince is none other than Djibi himself.  But 3 years later, the entry of Sofia to the college will mark the end of her childhood. To the despair of her father, she no longer needs her stories at night. On the one hand, Djibi will have to accept that his daughter will grow up and move away from him. On the other hand, in the World of Stories, the Prince will have to face the most epic of all his adventures. Find your destiny in a world where it no longer has a place.",2020-02-12
17,82.825,47,399363,en,"[14, 12, 10751]",Wendy,6.5,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.",2020-02-28
18,83.343,690,587792,en,"[35, 10749, 14, 9648]",Palm Springs,7.5,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",2020-07-10
19,80.518,0,652004,en,"[27, 53]",The Wolf of Snow Hollow,0.0,A stressed-out police officer struggles not to give in to the paranoia that grips his small mountain town as bodies turn up after each full moon.,2020-12-10
0,85.878,679,585244,en,"[18, 10402]",I Still Believe,7.8,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,2020-03-12
1,74.2,18,390635,ja,[16],Fate/stay night: Heaven's Feel III. Spring Song,4.4,"As Sakura drowns in the murky darkness of the sins she has committed, Shirō's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirō's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?",2020-08-15
2,70.569,7,605499,en,"[18, 10749]",Monsoon,4.3,"Kit can’t remember much of his native Vietnam. When he returns to the Land of the Golden Star for the first time in over thirty years, he takes in his local surroundings as any Western tourist would, and the environment is as exotic as the language is incomprehensible. The aim of Kit’s travels – to find a place to scatter his parents’ ashes – thus becomes part of a journey back to his roots and to the discovery of his identity, which external circumstances have rendered ambiguous and complex.",2020-09-25
3,76.483,49,583132,ja,[27],Sadako,6.5,"A group of people must find out how to stop the newborn deadly curse, which has born and gone viral after a Youtuber accidentally captured a vengeful ghost on camera.",2019-05-24
4,68.268,36,610201,en,"[27, 37]",The Pale Door,6.1,"The Dalton gang escape to a nearby town after a train robbery goes south, but they are met by a coven of witches with sinister plans for the unsuspecting outlaws.",2020-08-21
5,54.134,7,527400,en,"[14, 12, 18]",Come Away,5.9,"Before Alice went to Wonderland, and before Peter became Pan, they were brother and sister. When their eldest brother dies in a tragic accident, they each seek to save their parents from their downward spirals of despair until finally they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.",2020-11-12
6,53.043,0,458576,en,"[14, 28, 12]",Monster Hunter,0.0,"A portal transports Lt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",2020-12-03
7,62.501,15,661950,en,"[27, 53]",Alone,6.1,"When an outbreak hits, Aidan barricades himself inside his apartment and starts rationing food. His complex is overrun by infected Screamers, and with the world falling apart into chaos, he is left completely alone fighting for his life.",2020-11-18
8,36.296,7,516632,en,"[80, 18, 27]",The Empty Man,6.3,"After a group of teens from a small Midwestern town begin to mysteriously disappear, the locals believe it is the work of an urban legend known as The Empty Man. As a retired cop investigates and struggles to make sense of the stories, he discovers a secretive group and their attempts to summon a horrific, mystical entity, and soon his life—and the lives of those close to him—are in grave danger.",2020-10-22
9,46.252,151,585077,ja,"[16, 14, 12, 9648]",Children of the Sea,7.2,"Ruka is a young girl whose parents are separated and whose father works in an aquarium. When two boys, Umi and Sora, who were raised in the sea by dugongs, are brought to the aquarium, Ruka feels drawn to them and begins to realize that she has the same sort of supernatural connection to the ocean that they do. Umi and Sora's special power seems to be connected to strange events that have been occurring more and more frequently, such as the appearance of sea creatures far from their home territory and the disappearance of aquarium animals around the world. However, the exact nature of the boys' power and of the abnormal events is unknown, and Ruka gets drawn into investigating the mystery that surrounds her new friends.",2019-06-07
10,45.799,5,596161,en,"[18, 53, 80]",Let Him Go,7.5,A retired sheriff and his wife fight to rescue their grandson from a dangerous off-grid family upon the death of their son.,2020-11-05
11,33.184,0,521007,en,"[28, 35]",Superintelligence,0.0,"When an all-powerful Superintelligence chooses to study the most average person on Earth, Carol Peters, the fate of the world hangs in the balance. As the A.I. decides to enslave, save or destroy humanity, it’s up to Carol to prove that people are worth saving.",2020-11-26
12,45.762,15,547017,en,"[18, 53]",Shirley,7.0,A famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,2020-09-11
13,48.867,52,553604,en,"[28, 53, 80, 18]",Honest Thief,6.7,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",2020-03-12
14,29.588,15,680593,en,[27],The Dark and the Wicked,6.0,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",2020-10-29
15,44.905,11,575446,es,[18],New Order,6.0,"In the near future, a popular uprising in Mexico City interrupts a wedding held at the home of a wealthy family. After the riots have been quashed, they discover the bride has gone missing and plea with the military to help locate her.",2020-10-22
16,54.284,4,632632,ja,"[16, 18, 10402]",Given,6.8,"Following the airing of the final episode of the Given anime adaptation today in Japan, the official Twitter account announced that a feature film adaptation will be released in 2020 directly picking up where the TV series left off.",2020-08-22
17,36.635,73,416153,en,"[16, 12, 35]",Arctic Dogs,6.2,Animals band together to save the day when the evil Otto Von Walrus hatches a sinister scheme to accelerate global warming and melt the Arctic Circle.,2019-11-01
18,33.955,221,480857,en,"[18, 10749, 36]",Radioactive,6.4,The story of Nobel Prize winner Marie Curie and her extraordinary scientific discoveries—through the prism of her marriage to husband Pierre—and the seismic and transformative effects their discovery of radium had on the 20th century.,2019-09-06
19,39.108,0,680601,en,[],Up From the Streets - New Orleans: The City of Music,0.0,"A film looking at the culture of New Orleans thru the lens of music. Hosted by Oscar nominee and 6-time Grammy Winner Terence Blanchard, the film tells the story of how music and culture intersected to create a distinct form of expression.",2020-11-19
0,15.264,45,622420,en,[27],The Jack in the Box,4.7,"When a vintage Jack-in-the-box is un-earthed and opened, it's new owners soon have reason to believe the creepy clown doll within has a life of it's own.",2020-02-17
1,19.572,0,632322,en,"[18, 10749]",All My Life,0.0,A couple's wedding plans are thrown off course when the groom is diagnosed with liver cancer.,2020-10-23
2,23.341,0,660637,es,[18],Dance of the 41,0.0,The true story of the infamous transvestite party that scandalized Mexico in 1901.,2020-11-19
3,18.053,1035,472734,en,"[35, 18]",Dumplin',6.9,"To prove a point about measuring up and fitting in, Texas teen Willowdean “Dumplin’” Dickson enters a local pageant run by her ex-beauty queen mom.",2018-12-20
4,16.038,0,654028,en,"[10751, 14, 12]",The Christmas Chronicles 2,0.0,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.",2020-11-25
5,16.176,6,658009,zh,"[28, 18]",Ip Man: Kung Fu Master,6.3,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,2019-12-23
6,17.266,0,615667,en,"[18, 10402]",Ma Rainey's Black Bottom,0.0,Tensions rise when the trailblazing Mother of the Blues and her band gather at a Chicago recording studio in 1927. Adapted from August Wilson's play.,2020-11-25
7,17.757,2,614560,en,"[18, 36]",Mank,8.5,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,2020-11-06
8,17.44,4,480434,en,"[53, 18]",Dreamland,7.0,"Amid the dust storms and economic depression of Dustbowl Era Oklahoma, Eugene Evans finds his family farm on the brink of foreclosure. His last bet to save the farm is the bounty on the head of fugitive bank robber Allison Wells.",2020-11-13
9,24.098,0,314514,en,[18],El Viaje de Ana,0.0,"Between France and Chile, the journey of a young woman following in the footsteps of Chilean poet Francisco Contreras' exiled wife jostles fiction and reality.",2020-11-18
10,17.268,2,650783,en,"[28, 35]",The Comeback Trail,8.5,"Producer Max Barber is in debt to a mob boss after his latest film bombs. With his life at stake, Max produces a new film, all to kill his lead in a stunt for insurance. Max casts drunk Duke Montana, but when he is unable to kill Duke in a basic stunt, Max puts him into more dangerous situations.",2020-11-12
11,18.003,2495,76,en,"[18, 10749]",Before Sunrise,7.9,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",1995-01-27
12,20.079,0,622977,en,[18],The Last Vermeer,0.0,"A soldier and member of the Dutch resistance investigates stolen art in the wake of the Second World War, including a Vermeer sold to the Nazis by a flamboyant forger.",2020-11-20
13,19.494,469,450322,en,"[18, 36, 35]",The Man Who Invented Christmas,6.7,"In 1843, despite the fact that Dickens is a successful writer, the failure of his latest book puts his career at a crossroads, until the moment when, struggling with inspiration and confronting reality with his childhood memories, a new character is born in the depths of his troubled mind; an old, lonely, embittered man, so vivid, so human, that a whole world grows around him, a story so inspiring that changed the meaning of Christmas forever.",2017-10-12
14,17.622,78,522098,en,"[18, 35]",Babyteeth,6.6,A terminally ill teen upsets her parents when she falls in love with a small-time drug dealer.,2020-06-18
15,15.991,0,611213,en,"[35, 10402]",The Prom,0.0,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,2020-12-02
16,15.11,336,574436,it,"[18, 80]",Piranhas,6.8,A gang of teenage boys stalk the streets of Naples armed with hand guns and AK-47s to do their mob bosses' bidding - until they decide to be the bosses themselves.,2019-02-14
17,15.751,0,664162,en,"[28, 10752]",A Rebel Born,0.0,"A Rebel Born follows the life of Nathan Bedford Forrest, who was a brilliant and very controversial Confederate general in the War Between the States. Even now, more than 150 years after the end of the war, Forrest has remained surrounded in controversy.",2020-12-03
18,15.446,0,502033,en,[18],Sound of Metal,0.0,A drummer begins to lose his hearing and has to come to grips with a future that will be filled with silence.,2020-11-20
19,12.501,1457,132344,en,"[10749, 18]",Before Midnight,7.5,"It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. Now, live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",2013-04-05
0,17.355,131,661804,fr,"[36, 18]",De Gaulle,6.3,"Paris, June 1940. The de Gaulle couple is confronted with the military and political collapse of France. Charles de Gaulle joins London while Yvonne, his wife, finds herself with her three children on the road of the exodus.",2020-03-04
1,14.292,7,533514,ja,"[16, 18, 10749, 14]",Violet Evergarden: The Movie,6.4,"After working as an Auto Memory Doll, Violet Evergarden has come to learn the meaning of the words “I love you.” Her soul, which has been deeply scarred by the war, has begun to heal. She continues to move forward in life, helping others in need, while keeping the words of the first person who ever said “I love you” to her close to her heart. When she takes on a job to write a letter for a terminally-ill boy, time starts to move forward.",2020-09-18
2,15.348,19,586742,da,"[16, 12, 35]",Dreambuilders,7.1,"Minna, a young girl, misuses her newfound ability to create and control other people’s dreams to teach her bothersome stepsister a lesson. When her stepsister can no longer wake up, Minna has to enter the dream world to save her.",2020-02-06
3,16.473,0,426793,en,[],Parallel,0.0,"A group of friends stumble upon a mirror that serves as a portal to a ""multiverse"", but soon discover that importing knowledge from the other side in order to better their lives brings increasingly dangerous consequences.",2020-12-11
4,10.225,0,723343,ja,"[16, 28, 10749, 878]",Date A Bullet: Nightmare or Queen,0.0,,2020-11-13
5,14.858,62,507441,en,"[878, 27, 53]",Sea Fever,5.8,The crew of a West of Ireland trawler—marooned at sea—struggle for their lives against a growing parasite in their water supply.,2020-06-12
6,13.583,3,602654,en,[53],Horizon Line,4.7,A couple flying on a small plane to attend a tropical island wedding must fight for their lives after their pilot suffers a heart attack.,2020-10-29
7,14.055,8,588709,pl,"[99, 18]",Faustina: Love and Mercy,8.1,"Docudrama tracing the life of Saint Faustina Kowalska, whose visions of Jesus Christ inspired the Roman Catholic devotion to the Divine Mercy and earned her the title of ""Apostle of Divine Mercy"".",2019-03-29
8,17.311,0,718356,en,[],Bela Shuru,0.0,Upcoming Movie from Windows Production house,2020-11-20
9,17.007,33,615115,en,"[53, 18]",The Secrets We Keep,6.2,"In post-World War II America, a woman, rebuilding her life in the suburbs with her husband, kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.",2020-09-16
10,15.025,0,652962,en,"[35, 18]",Half Brothers,0.0,"A story about the complex connection with a brother who is based in Mexico, meant to be a metaphor of the relationship between neighboring countries America and Mexico.",2020-12-04
11,12.011,0,615681,en,"[28, 12, 10751]",Carmen Sandiego,0.0,A live-action feature film based on Carmen Sandiego.,2020-12-01
12,12.178,2072,80,en,"[18, 10749]",Before Sunset,7.8,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",2004-02-10
13,11.452,10,681580,es,[53],Cross the Line,6.5,A good-natured man has an unexpected deadly confrontation. Instincts kick in to clean up the mess caused in the name of self-defense but does one really get away free after killing someone?,2020-10-16
14,12.881,0,609760,en,"[27, 53]",The Collected,0.0,"The third film in The Collector series, following ""The Collector"" (2009) and ""The Collection"" (2012).",2020-11-26
15,15.116,0,738894,en,[99],Dear Werner (Walking on Cinema),0.0,"In 1974 Werner Herzog walked from Munich to Paris, an act of faith to prevent the  death of his mentor Lotte Eisner. In 2020, a young filmmaker walks following Herzog´s footprints in an act of love to one of the best filmmakers of our time. A journey through villages, nature, loneliness and cold, looking for the meaning of filmmaking. Including fragments of the book ""Of Walking in Ice"" by legendary filmmaker Werner Herzog narrated by himself exclusively for the film.",2020-11-20
16,16.734,0,755862,fr,[18],Mater,0.0,,2020-11-18
17,10.279,211,13754,ja,"[28, 12, 16]",Tekkonkinkreet,7.5,"When mysterious foreign entrepreneurs appear with the intention of tearing down Treasure Town and replacing it with an amusement park, Black and White face their greatest adversaries yet. It is up to the destructive Black to save the fate of the city and up to the gentle White to save Black from his own dark nature. On the street of an unnamed city, literally high-flying urchins Black and White look to protect their turf from invasion from other gangs. While he can be tough in a fight or wielding a weapon, White is an 11-year-old who can't even dress himself. Slightly older, Black is more worldly and treats his buddy with paternal love. Both look on their city as ""our town."" Also prone to seeing the city as his property is world-weary yakuza leader Suzuki, aka the Rat. Feeling the town has become too placid, Suzuki plots his return, much to the consternation of local police.",2006-12-11
18,14.793,218,481375,en,[27],Malevolent,4.9,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",2018-12-13
19,16.39,0,712178,fr,"[18, 35]",Gagarine,0.0,"Yuri, 16, has lived all his life in Gagarin Towers, a vast red-brick housing project on the outskirts of Paris. He dreams of becoming an astronaut. When plans to demolish Gagarin Towers leak out, Yuri joins the resistance.  With his friends Diana and Houssam, he embarks on a mission to save their home, which has become his “starship.”",2020-11-18
0,15.989,1,759917,ko,[27],요가학원: 죽음의 쿤달리니,6.0,,2020-11-18
1,11.266,76,580175,da,"[18, 35]",Another Round,8.0,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,2020-10-08
2,11.762,0,683535,en,[],Before The Wrath,0.0,"While scholars debate the timing of the Rapture, the world has lost why this event is prophesied to occur in the first place; knowledge that was once understood by those in the first century. Today, researchers in the Middle-East have rediscovered ancient anthropological evidence from the time of Christ that reveals exactly how and why the Rapture must occur; unveiling new biblical insight that will reignite hope for believers and prepare the world for what's coming.",2020-11-26
3,15.607,0,755881,fr,[16],En attendant la neige,0.0,"Winter is coming... A grandmother collects strange objects in her house, which will soon be filled to the ceiling. A lost dog finally meets a friend. The little tiger regains its stripes and a lynx wanders off in an unknown city while the first snowflakes gently cover the ground of a forest asleep by the cold...",2020-11-18
4,13.308,10,520946,en,"[16, 10751]",100% Wolf,7.0,"Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle. The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever. With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.",2020-05-07
5,11.111,8,575776,en,"[27, 18, 9648]",Saint Maud,7.6,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",2020-10-09
6,12.867,0,727097,en,"[28, 12]",Archenemy,0.0,"Max Fist claims he’s a hero from another dimension who has somehow landed on Earth and been stripped of his powers. Instead of treating him like a powerful champion, no one believes Max’s claims — except for a teenager named Hamster and his sister Indigo. The siblings convince Max to help them take out a local drug gang, where Max’s abilities are put to a violent and harrowing test.",2020-12-11
7,10.985,0,646593,en,"[28, 53, 80, 9648]",Wander,0.0,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",2020-12-04
8,10.972,0,589456,cn,"[18, 10402]",Find Your Voice,0.0,"Yan Zilang is an internationally acclaimed conductor working in the United States. After his former teacher inherits a group of problem students, Zilang returns to Hong Kong to assist with training them. Although it won’t be an easy task, Zilang is prepared to do everything he can to help the kids find their voices.",2020-11-13
9,15.249,0,592777,fr,[18],Should the Wind Drop,0.0,"International auditor Alain has arrived to appraise the airport of a small self-proclaimed republic in the Caucasus to green light its eventual reopening. Through Edgar, a local boy running a make-shift business in the airport, Alain will risk all to help this isolated territory to open up.",2020-11-18
10,15.166,0,745699,nl,[18],Family,0.0,"""An acting family plays the members of a family about to take their own lives in this heartbreaking celebration of the ordinary. (...) Performed at the stately pace of a slow piece of Bach, Familie is assured, soulful and unnerving."" - The Guardian",2020-11-18
11,13.128,0,614911,en,"[18, 878, 14]",The Midnight Sky,0.0,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,2020-12-10
12,9.298,0,514466,en,"[35, 28]",Supercool,0.0,"Best friends, Neil and Gilbert start their senior year of high school with high hopes and aspirations. Neil has always fantasized about being cool enough to date his long time crush and Gilbert has always dreamed of being a social media super star. After what is, by all accounts, a very disappointing and embarrassing first day in school, Neil makes a magical wish to be cool just at the magical moment when the clock strikes 11:11. The next morning, Neil wakes up to a reality that is straight from the comics of his dreams.",2020-11-28
13,11.31,0,744080,en,[99],Dear Santa,0.0,"An elixir to our current state, ""Dear Santa"" takes us on the fanciful and poignant journey of a little known program called Operation Santa. For more than 100 years, human elves have been helping Santa respond to the thousands of letters children write and mail to him. This gripping documentary crisscrosses the country, following the most emotional letters as the elves work hard to make sure each child’s Christmas dreams come true.",2020-10-08
14,14.826,0,353047,en,[99],Zappa,0.0,"With the help of more than 10,000 dedicated Zappa fans, this is the long-awaited definitive documentary project of Alex Winter documenting the life and career of enigmatic groundbreaking rock star Frank Zappa. Alex also utilizes in this picture thousands of hours of painstakingly digitized videos, photos, audio, writing, and everything in between from Zappa's private archives. These chronicles have never been brought to a public audience before, until now.",2020-11-27
15,12.478,158,548544,pt,[18],Invisible Life,8.1,"Rio de Janeiro, Brazil, 1950. In the conservative home of the Gusmão family, Eurídice and Guida are two inseparable sisters who support each other. While Guida can share with her younger sister the details of her romantic adventures, Eurídice finds in her older sister the encouragement she needs to pursue her dream of becoming a professional pianist.",2019-08-30
16,10.66,0,702621,en,"[27, 18]",Lullaby,0.0,,2020-12-01
